Row ID,Site ID,Location,Road Name,Enforced Speed Limit,Month End Date,Deployment Hours,1-5 Over Speed Limit,6-10 Over Speed Limit,11-15 Over Speed Limit,16-20 Over Speed Limit,21-50 Over Speed Limit,51+ Over Speed Limit,Total Speeding Tickets,Latitude,Longitude
2019-08-31-7131-100,7131,WB Anthony Henday Dr at 34 St,WB Anthony Henday Dr at 34 St,100,8/31/2019 0:00,1.5,0,0,4,6,1,0,11,53.435731,-113.395537
2019-08-31-7132-100,7132,EB Anthony Henday Dr at 50 St,EB Anthony Henday Dr at 50 St,100,8/31/2019 0:00,0.7833,0,0,0,2,0,0,2,53.435416,-113.416955
2019-03-31-7099-50,7099,SB Sask Dr between 87 - University Ave,SB Sask Dr between 87 - University Ave,50,3/31/2019 0:00,17.5,0,0,43,80,10,0,133,53.5209,-113.53886
2019-04-30-2719-50,2719,WB 107 Ave between 110 - 113 St,WB 107 Ave between 110 - 113 St,50,4/30/2019 0:00,22.3,0,20,39,10,3,0,72,53.55141,-113.513022
2019-07-31-7064-50,7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,7/31/2019 0:00,6.5,0,12,12,3,0,0,27,53.545604,-113.542788
2019-01-31-4030-30,4030,SB Riverbend Rd btwn 56 - 53 Ave,SB Riverbend Rd between 56 - 53  Ave,30,1/31/2019 0:00,16.4,0,22,62,12,10,0,106,53.4921,-113.578251
2019-07-31-2679-50,2679,WB Hermitage Rd between Homestead Cr - Henry Ave,Hermitage Rd WB between Homestead Cr - Henry Ave,50,7/31/2019 0:00,51.7,0,0,111,26,10,0,147,53.584449,-113.402541
2019-03-31-2726-60,2726,WB 111 Ave between 113 - 116 St,WB 111 Ave between 113 - 116 St,60,3/31/2019 0:00,11.1333,0,0,19,4,1,0,24,53.55894,-113.518565
2019-05-31-4069-30,4069,NB Mill Woods Rd btwn 28 Ave - S of Lakewood Rd N,NB Mill Woods Rd btwn 28 Ave - Lakewood Rd N,30,5/31/2019 0:00,6,0,14,17,4,2,0,37,53.46038,-113.448336
2019-06-30-4127-30,4127,NB 156 St N of 81 - 84 Ave,NB 156 St N of 81 - 84 Ave,30,6/30/2019 0:00,22.2986,0,34,86,58,44,0,222,53.516342,-113.590341
2019-08-31-7136-100,7136,EB Anthony Henday Dr at 91 St,EB Anthony Henday Dr at 91 St,100,8/31/2019 0:00,19.6833,0,0,44,68,32,0,144,53.437156,-113.464705
2019-08-31-2202-40,2202,NB Ottewell Rd between 95 - 96A Ave,NB Ottewell Rd between 95 - 96A Ave,40,8/31/2019 0:00,4.5,0,4,8,1,0,0,13,53.534337,-113.43695
2019-08-31-2352-40,2352,EB 94B Ave btwn 68A - 61 St,EB 94B Ave btwn 68A - 61 St,40,8/31/2019 0:00,3,0,1,5,0,0,0,6,53.533906,-113.430413
2019-08-31-2353-40,2353,WB 94B Ave btwn 61 - 68 St,WB 94B Ave btwn 61 - 68 St,40,8/31/2019 0:00,4,0,1,1,0,0,0,2,53.533912,-113.429707
2019-08-31-2445-50,2445,NB 142 St btwn 104A - 105 Ave,142 St NB btwn 104A-105 Ave,50,8/31/2019 0:00,98.4833,0,110,235,49,14,0,408,53.547254,-113.565748
2019-08-31-2449-50,2449,EB Sask. Drive between 107 - 105 St,EB Sask. Drive between 107 - 105 St,50,8/31/2019 0:00,21.8333,0,15,35,6,1,0,57,53.523126,-113.503378
2019-08-31-2452-50,2452,EB 144 Avenue between 79 - 77 Street,EB 144 Ave between 79-77 St,50,8/31/2019 0:00,6.6333,0,2,6,0,0,0,8,53.60685,-113.461817
2019-08-31-2454-50,2454,SB Fort Rd between 122 - 121 Ave,Fort Rd SB between  122 - 121 Ave,50,8/31/2019 0:00,3,0,0,1,3,0,0,4,53.575952,-113.459654
2019-08-31-2468-50,2468,WB 132 Ave between 119 - 121 St,132 Ave WB between 119 - 121 St,50,8/31/2019 0:00,36.8167,0,21,47,11,3,0,82,53.592158,-113.528602
2019-08-31-2469-50,2469,EB 132 Ave between 123 - 121 St,132 Ave EB between 123 - 121 St,50,8/31/2019 0:00,21.9833,0,7,21,7,1,0,36,53.592167,-113.531956
2019-08-31-247-80,247,WB Yellowhead Trail at 50 St,WB Yellowhead Trail at 50 St,80,8/31/2019 0:00,23.3167,0,0,52,126,59,1,238,53.582489,-113.418818
2019-08-31-2472-50,2472,WB 132 Ave between 103 - 105 St,WB 132 Ave between 103 - 105 St,50,8/31/2019 0:00,12.2667,0,1,6,2,1,0,10,53.592062,-113.498998
2019-08-31-2473-50,2473,EB 132 Ave between Delwood Rd - 79 St,132 Ave EB between Delwood Rd - 79 St,50,8/31/2019 0:00,4,0,0,3,0,1,0,4,53.592233,-113.4628
2019-08-31-2494-50,2494,SB 142 St between 106 - 104 Ave,142 St SB between 106 - 104 Ave,50,8/31/2019 0:00,89.5667,0,138,301,59,5,0,503,53.547422,-113.56575
2019-08-31-2502-50,2502,WB 82 Ave between 87 - 89 St,82 Ave WB between 87 - 89 St,50,8/31/2019 0:00,54.05,0,96,156,30,4,0,286,53.518028,-113.462873
2019-08-31-2503-50,2503,WB 82 Ave between 96 - 97 St,82 Ave WB between 96 - 97 St,50,8/31/2019 0:00,3.6667,0,0,0,0,0,0,0,53.518099,-113.478202
2019-08-31-2504-50,2504,EB 82 Ave between 98 - 97 St,82 Ave EB between 98 - 97 St,50,8/31/2019 0:00,79.3,0,65,140,21,9,0,235,53.517986,-113.481253
2019-08-31-2506-50,2506,EB 118 Ave between 56 - 54 St,118 Ave EB between 56 - 54 St,50,8/31/2019 0:00,14.1,0,11,28,3,0,0,42,53.570361,-113.426122
2019-08-31-2507-50,2507,WB 118 Ave between 60 - 62 St,118 Ave WB between 60 - 62 St,50,8/31/2019 0:00,32.8167,0,30,66,18,6,0,120,53.570368,-113.434924
2019-08-31-2510-50,2510,EB 142 Ave between 127 - 122 St,142 Ave EB between 127 - 122 St,50,8/31/2019 0:00,20.0333,0,16,33,7,7,0,63,53.604179,-113.536377
2019-08-31-2511-50,2511,WB 142 Ave between 122 - 127 St,142 Ave WB between 122 - 127 St,50,8/31/2019 0:00,9.05,0,4,7,3,0,0,14,53.604179,-113.536377
2019-08-31-2518-50,2518,SB 109 St between 110 - 108 Ave,109 St SB between 110 - 108 Ave,50,8/31/2019 0:00,58.8833,0,45,78,20,4,0,147,53.554807,-113.508529
2019-08-31-2519-50,2519,NB 109 St between 108 - 110 Ave,109 St NB between 108 – 110 Ave,50,8/31/2019 0:00,35.0833,0,29,47,7,4,0,87,53.554828,-113.508338
2019-08-31-2527-50,2527,NB Riverbend Rd between 43 - 45 Ave,NB Riverbend Rd between 43 - 45 Ave,50,8/31/2019 0:00,30.5333,0,12,34,8,3,0,57,53.481782,-113.579591
2019-08-31-2528-50,2528,EB 51 Ave between 122 - 116 St,51 Ave EB between 122 - 116 St,50,8/31/2019 0:00,21.1833,0,11,23,6,3,0,43,53.488234,-113.536111
2019-08-31-2530-50,2530,WB 144 Ave between 77 - 79 St,144 Ave WB between 77 - 79 St,50,8/31/2019 0:00,10.8333,0,1,7,3,0,0,11,53.606978,-113.461816
2019-08-31-2538-50,2538,NB 163 St between 89 - 93 Ave,163 St NB between 89 - 93 Ave,50,8/31/2019 0:00,21.35,0,8,28,3,2,0,41,53.526048,-113.602771
2019-08-31-2543-50,2543,EB 82 Ave between 89 - 87 St,82 Ave EB between 91 - 87 St,50,8/31/2019 0:00,97.3333,0,209,439,76,16,0,740,53.518027,-113.464396
2019-08-31-2552-50,2552,SB 106 St between 48 - 45 Ave,106 St SB between 48 - 45 Ave,50,8/31/2019 0:00,4,0,6,5,0,0,0,11,53.484759,-113.504407
2019-08-31-2553-50,2553,NB 106 St between 45 - 48 Ave,106 St NB between 45 - 48 Ave,50,8/31/2019 0:00,3,0,0,1,1,0,0,2,53.484761,-113.504278
2019-08-31-2554-50,2554,WB Millwoods Rd S between 69 St - Knottwood Rd E,Millwoods Rd S WB btwn 69 St - Knottwood Rd E,50,8/31/2019 0:00,2.5,0,0,3,1,0,0,4,53.445877,-113.441229
2019-08-31-2555-50,2555,EB Millwoods Rd S between Knottwood Rd E - 69 St,EB Millwoods Rd S between Knottwood Rd E - 69 St,50,8/31/2019 0:00,11,0,8,30,5,3,0,46,53.445877,-113.441229
2019-08-31-2558-50,2558,SB 156 St between 94 - 92 Ave,156 St SB between 94 - 92 Ave,50,8/31/2019 0:00,58.45,0,57,145,18,5,0,225,53.52838,-113.590325
2019-08-31-2561-50,2561,NB 105 St between 97 - 98 Ave,105 St NB between 97 - 98 Ave,50,8/31/2019 0:00,56,0,112,224,75,25,0,436,53.534823,-113.501077
2019-08-31-2562-50,2562,EB 39 Ave between 97 - 93 St,39 Ave EB between 97 - 93 St,50,8/31/2019 0:00,12.8833,0,12,30,3,3,0,48,53.474111,-113.47639
2019-08-31-2563-50,2563,WB 39 Ave between 93 - 97 St,39 Ave WB between 93 - 97 St,50,8/31/2019 0:00,21.7833,0,24,42,8,1,0,75,53.474111,-113.47639
2019-08-31-2570-60,2570,EB Ellerslie Rd SW between 109 St SW-Calgary Tr,EB Ellerslie Rd SW between 109 St SW-Calgary Tr,60,8/31/2019 0:00,23.5,0,0,87,18,9,0,114,53.424793,-113.501891
2019-08-31-2571-60,2571,WB Ellerslie Rd SW between Calgary Tr-109 St SW,WB Ellerslie Rd SW between Calgary Tr-109 St SW,60,8/31/2019 0:00,31.5833,0,0,97,35,14,0,146,53.424939,-113.501954
2019-08-31-2577-50,2577,EB 144 Ave between 94 - 92 St,EB 144 Ave between 94 - 92 St,50,8/31/2019 0:00,3.5333,0,0,0,2,0,0,2,53.60603,-113.483773
2019-08-31-2587-50,2587,EB 51 Ave between 116 - 114 St,51 Ave EB between 116 - 114 St,50,8/31/2019 0:00,24.6667,0,9,25,8,0,0,42,53.488218,-113.527825
2019-08-31-2588-50,2588,WB 51 Ave between 114 - 116 St,WB 51 Ave between 114 - 116 St,50,8/31/2019 0:00,2.0167,0,0,1,0,0,0,1,53.488322,-113.527826
2019-08-31-2589-50,2589,EB 51 Ave between 114 - 112 St,51 Ave EB between 114 - 112 St,50,8/31/2019 0:00,33.9,0,25,59,16,2,0,102,53.488197,-113.522114
2019-08-31-2590-60,2590,NB 170 St between 114 - 117 Ave,170 St NB between 114 - 117 Ave,60,8/31/2019 0:00,26.7333,0,0,96,16,10,0,122,53.565261,-113.615187
2019-08-31-2603-60,2603,WB 137 Ave between 58 - 63 St,137 Ave WB between 58 - 63 St,60,8/31/2019 0:00,69.2,0,0,228,54,26,1,309,53.599607,-113.434709
2019-08-31-2609-60,2609,EB 137 Ave between 136A - 136 St,EB 137 Ave between 136A - 136 St,60,8/31/2019 0:00,13,0,0,53,15,10,0,78,53.599378,-113.556209
2019-08-31-2610-60,2610,NB 75 St between 92A - 94B Ave,75 St NB between 92A - 94B Ave,60,8/31/2019 0:00,86.25,0,0,191,41,18,2,252,53.530045,-113.44289
2019-08-31-2612-50,2612,EB 112 Ave between 78 - 76 St,EB 112 Ave between 78 - 76 St,50,8/31/2019 0:00,63.6167,0,70,112,32,6,0,220,53.561207,-113.459309
2019-08-31-2615-50,2615,NB 113A St between 134 - 136 Ave,113A St NB between 134 - 136 Ave,50,8/31/2019 0:00,73.2833,0,70,131,31,6,0,238,53.596687,-113.516563
2019-08-31-2616-50,2616,SB 113A St between 132 - 130 Ave,113A St SB between 132 - 130 Ave,50,8/31/2019 0:00,35.7,0,14,31,9,2,0,56,53.590758,-113.51655
2019-08-31-2619-50,2619,NB 50 St between 102 - 104A Ave,50 St NB between 102 - 104A Ave,50,8/31/2019 0:00,43.9475,0,22,39,4,2,0,67,53.544943,-113.418428
2019-08-31-2620-50,2620,SB 50 St between Fulton Rd - 101A Ave,50 St SB between Fulton Rd - 101A Ave,50,8/31/2019 0:00,55.9,0,59,126,18,1,0,204,53.54495,-113.418685
2019-08-31-2622-30,2622,WB 57 Ave between 113A - 113B St,WB 57 Ave between 113A - 113B St,30,8/31/2019 0:00,3.5,0,0,0,0,0,0,0,53.494616,-113.524365
2019-08-31-2628-50,2628,WB 145 Ave between 114A - 117 St,WB 145 Ave between 114A - 117 St,50,8/31/2019 0:00,7.1333,0,1,3,0,0,0,4,53.607246,-113.521123
2019-08-31-2629-50,2629,EB 145 Ave between 117 - 114A St,EB 145 Ave between 117 - 114A St,50,8/31/2019 0:00,8,0,1,3,0,0,0,4,53.607246,-113.521123
2019-08-31-2637-30,2637,NB 114 St between 51 - 53 Ave,NB 114 St between 51 - 53 Ave,30,8/31/2019 0:00,24.5667,0,13,52,25,4,0,94,53.488992,-113.524012
2019-08-31-2644-60,2644,NB 142 St between Valleyview Dr - 95 Ave,NB 142 St between Valleyview Dr - 95 Ave,60,8/31/2019 0:00,6.2667,0,0,3,8,7,0,18,53.529988,-113.56559
2019-08-31-2669-50,2669,NB 127 St between 135 - 137 Ave,127 St NB between 135 - 137 Ave,50,8/31/2019 0:00,91.4378,0,152,290,67,18,0,527,53.597978,-113.541175
2019-08-31-2670-50,2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,118 Ave EB between 78 St - Wayne Gretzky Dr,50,8/31/2019 0:00,86.833,0,184,482,112,38,0,816,53.570284,-113.457251
2019-08-31-2671-50,2671,SB 163 St between 93 - 92 Ave,163 St SB between 93 - 92 Ave,50,8/31/2019 0:00,7,0,1,3,1,0,0,5,53.527539,-113.602746
2019-08-31-2679-50,2679,WB Hermitage Rd between Homestead Cr - Henry Ave,Hermitage Rd WB between Homestead Cr - Henry Ave,50,8/31/2019 0:00,13.0667,0,0,9,1,1,0,11,53.584448,-113.402543
2019-08-31-2681-50,2681,EB Stony Plain Rd at 133 St,EB Stony Plain Rd at 133 St,50,8/31/2019 0:00,99.2,0,0,453,85,31,1,570,53.546209,-113.551283
2019-08-31-2701-50,2701,EB 112 Ave btwn 55 - 53 St,EB 112 Ave btwn 55 - 53 St,50,8/31/2019 0:00,28.4333,0,41,84,16,5,0,146,53.56726,-113.424606
2019-08-31-2703-50,2703,WB 114 Ave between 46 - 48 St,WB 114 Ave between 46 - 48 St,50,8/31/2019 0:00,4,0,1,4,0,1,0,6,53.566788,-113.41377
2019-08-31-2714-50,2714,NB 97 St between 112 - 114 Ave,NB 97 St between 112 - 114 Ave,50,8/31/2019 0:00,11.0833,0,9,20,0,1,0,30,53.562676,-113.491703
2019-08-31-2716-50,2716,NB 97 St between 108 - 110 Ave,NB 97 St between 108 - 110 Ave,50,8/31/2019 0:00,2.8667,0,1,5,0,0,0,6,53.555463,-113.490914
2019-08-31-2718-50,2718,NB 97 St between 115 -117 Ave,NB 97 St between 115 -117 Ave,50,8/31/2019 0:00,88.1,0,94,171,23,15,0,303,53.567302,-113.491784
2019-08-31-2719-50,2719,WB 107 Ave between 110 - 113 St,WB 107 Ave between 110 - 113 St,50,8/31/2019 0:00,27.5667,0,18,27,5,8,0,58,53.551409,-113.513025
2019-08-31-2720-50,2720,EB 107 Ave between 113 - 110 St,EB 107 Ave between 113 - 110 St,50,8/31/2019 0:00,14.25,0,9,13,0,1,0,23,53.551409,-113.513025
2019-08-31-2721-50,2721,NB 101 St between 107A - 108 Ave,NB 101 St between 107A - 108 Ave,50,8/31/2019 0:00,29.3667,0,36,79,14,4,0,133,53.552283,-113.493717
2019-08-31-2722-50,2722,SB 101 St between 108 - 107A Ave,SB 101 St between 108 - 107A Ave,50,8/31/2019 0:00,10.0167,0,3,10,5,0,0,18,53.552283,-113.493717
2019-08-31-2723-50,2723,NB 95 St between 112 - 114 Ave,NB 95 St between 112 - 114 Ave,50,8/31/2019 0:00,8.75,0,0,6,1,2,0,9,53.562656,-113.48715
2019-08-31-2724-50,2724,SB 95 St between 114 - 112 Ave,SB 95 St between 114 - 112 Ave,50,8/31/2019 0:00,7,0,2,1,0,0,0,3,53.562656,-113.48715
2019-08-31-2725-60,2725,EB 111 Ave between 116 - 113 St,EB 111 Ave between 116 - 113 St,60,8/31/2019 0:00,29.7,0,0,54,6,2,0,62,53.558824,-113.518563
2019-08-31-2727-60,2727,EB 111 Ave between 113 - 110 St,EB 111 Ave between 113 - 110 St,60,8/31/2019 0:00,11.5333,0,0,4,3,2,0,9,53.558826,-113.513004
2019-08-31-2728-60,2728,WB 111 Ave between 116 - 119 St,WB 111 Ave between 116 - 119 St,60,8/31/2019 0:00,5.25,0,0,3,0,0,0,3,53.558937,-113.524155
2019-08-31-2729-50,2729,EB  Princess Elizabeth Ave between 106 - 102 St,EB Princess Elizabeth Ave between 106 - 102 St,50,8/31/2019 0:00,105.3167,0,333,764,147,43,0,1287,53.568062,-113.499163
2019-08-31-2734-60,2734,EB 137 Ave between 63 - 61 St,EB 137 Ave between 63 - 61 St,60,8/31/2019 0:00,30.4667,0,0,75,13,14,1,103,53.599476,-113.437013
2019-08-31-2738-50,2738,SB 66 St between Delwood Rd - 132 Ave,SB 66 St between Delwood Rd - 132 Ave,50,8/31/2019 0:00,93.8833,0,109,230,41,14,0,394,53.593904,-113.443058
2019-08-31-2739-50,2739,NB 66 St between 132 - 134 Ave.,NB 66 St between 132 - 134 Ave.,50,8/31/2019 0:00,78.6167,0,77,171,33,9,0,290,53.593833,-113.44285
2019-08-31-2747-50,2747,WB 87 Ave between 119 St - Sask Dr,WB 87 Ave between 119 St - Sask Dr,50,8/31/2019 0:00,60.8139,0,0,109,24,2,0,135,53.522961,-113.538282
2019-08-31-2748-50,2748,SB 50 St between 124 - 122 Ave,SB 50 St between 124 - 122 Ave,50,8/31/2019 0:00,41.75,0,42,115,26,3,0,186,53.578332,-113.418376
2019-08-31-2749-50,2749,WB 95 Ave between 158 - 160 St,WB 95 Ave between 158 - 160 St,50,8/31/2019 0:00,63.6333,0,0,200,42,13,0,255,53.531556,-113.595579
2019-08-31-2752-50,2752,WB 95 Ave between 165 - 167 St,WB 95 Ave between 165 - 167 St,50,8/31/2019 0:00,2.8333,0,0,0,0,0,0,0,53.531696,-113.608925
2019-08-31-2756-50,2756,WB 82 Ave between 91 - 95A St,WB 82 Ave between 91 - 95A St,50,8/31/2019 0:00,84.7333,0,173,360,53,20,0,606,53.518074,-113.471549
2019-08-31-2757-50,2757,SB 163 St between 99 - 96A Ave,SB 163 St between 99 - 96A Ave,50,8/31/2019 0:00,77.95,0,116,186,23,6,0,331,53.53571,-113.602768
2019-08-31-2758-50,2758,EB 95 Ave between 170 - 167 St,EB 95 Ave between 170 - 167 St,50,8/31/2019 0:00,17.1833,0,0,51,6,2,0,59,53.531602,-113.6126
2019-08-31-2765-50,2765,EB 95 Ave between 163 - 160 St,EB 95 Ave between 163 - 160 St,50,8/31/2019 0:00,37.0333,0,0,117,26,9,0,152,53.531584,-113.59981
2019-08-31-2766-50,2766,SB Fort Rd between 131 - 128 Ave,SB Fort Rd between 131 - 128 Ave,50,8/31/2019 0:00,3.0833,0,0,2,7,4,0,13,53.588188,-113.436412
2019-08-31-2775-50,2775,SB 156 St between 109 - 108 Ave,156 St SB between 109 - 108 Ave,50,8/31/2019 0:00,47.1833,0,0,230,50,15,0,295,53.55339,-113.590384
2019-08-31-2778-50,2778,SB 104 St between 78 - 76 Ave,SB 104 St between 78 - 76 Ave,50,8/31/2019 0:00,5.7167,0,0,3,3,5,0,11,53.513288,-113.497624
2019-08-31-2781-60,2781,NB 149 St. Between 80 - 84 Ave,NB 149 St. Between 80 - 84 Ave,60,8/31/2019 0:00,51.6667,0,0,163,28,8,0,199,53.515826,-113.577899
2019-08-31-2782-50,2782,EB 87 Ave between 120 - 117 St,EB 87 Ave between 120 - 117 St,50,8/31/2019 0:00,38.6333,0,0,56,9,4,0,69,53.522956,-113.535406
2019-08-31-2789-50,2789,NB 84 St between 102 - 105 Ave,NB 84 St between 102 - 105 Ave,50,8/31/2019 0:00,8.8333,0,0,8,3,2,0,13,53.545533,-113.457136
2019-08-31-2792-60,2792,WB Stony Plain Rd Between 180 - 182 St,WB Stony Plain Rd Between 180 - 182 St,60,8/31/2019 0:00,9.5833,0,0,78,16,4,0,98,53.541368,-113.634511
2019-08-31-2795-60,2795,NB 159 St between Whitemud Dr - 87 Ave,NB 159 St between Whitemud Dr - 87 Ave,60,8/31/2019 0:00,18.2167,0,0,31,6,1,0,38,53.515721,-113.596704
2019-08-31-2796-60,2796,SB 159 St between 87 Ave - Whitemud Dr,SB 159 St between 87 Ave - Whitemud Dr,60,8/31/2019 0:00,46.1,0,0,55,13,6,0,74,53.515731,-113.596704
2019-08-31-2797-50,2797,SB Meadowlark Rd between 90 - 88A Ave,SB Meadowlark Rd between 90 - 88A Ave,50,8/31/2019 0:00,23.1667,0,30,55,3,3,0,91,53.522567,-113.593744
2019-08-31-2800-50,2800,EB Whitemud Dr between 76 - 66 St,EB Whitemud Dr between 76 - 66 St,50,8/31/2019 0:00,33.5167,0,72,212,121,146,1,552,53.485009,-113.448167
2019-08-31-2801-50,2801,EB Whitemud Dr between 76 - 66 St,EB Whitemud Dr between 76 - 66 St,50,8/31/2019 0:00,51.2167,0,83,256,163,125,1,628,53.485009,-113.448167
2019-08-31-2802-50,2802,WB Whitemud Dr between 50 - 75 St,WB Whitemud Dr between 50 - 75 St,50,8/31/2019 0:00,76.5022,0,119,452,241,289,2,1103,53.486308,-113.430418
2019-08-31-2803-50,2803,WB Whitemud Dr between 50 - 75 St,WB Whitemud Dr between 50 - 75 St,50,8/31/2019 0:00,6.75,0,9,47,12,19,0,87,53.486308,-113.430418
