Row ID,Site ID,Location,Enforced Speed Limit,Month End Date,1-5 Over Speed Limit,6-10 Over Speed Limit,11-15 Over Speed Limit,16-20 Over Speed Limit,21-50 Over Speed Limit,51+ Over Speed Limit,Total Speeding Tickets,Total Red Light Tickets,Latitude,Longitude,New Georeferenced Column
2019-10-31-ED1055-60,ED1055,NB 111 St @ Whitemud Drive EB,60,10/31/2019 0:00,0,0,284,70,21,0,375,39,53.482055,-113.515857,"(53.482055, -113.515857)"
2019-10-31-ED1064-60,ED1064,EB 23 Ave @ 66 St,60,10/31/2019 0:00,0,0,169,31,5,1,206,4,53.453433,-113.435067,"(53.453433, -113.435067)"
2019-10-31-ED1065-60,ED1065,EB 34 Ave @ 50 St,60,10/31/2019 0:00,0,0,7,2,2,0,11,3,53.464976,-113.420777,"(53.464976, -113.420777)"
2019-10-31-ED1067-60,ED1067,WB Windermere Blvd @  Terwillegar Dr NB,60,10/31/2019 0:00,0,0,26,8,1,0,35,13,53.436815,-113.612106,"(53.436815, -113.612106)"
2019-10-31-ED1068-60,ED1068,SB 170 St @ 69 Ave,60,10/31/2019 0:00,0,0,266,59,16,0,341,4,53.5049067,-113.6157943,"(53.5049067, -113.6157943)"
2019-10-31-ED1069-50,ED1069,WB 118 Ave @ Wayne Gretzky Dr SB,50,10/31/2019 0:00,0,0,200,45,9,0,254,8,53.5704186,-113.4531748,"(53.5704186, -113.4531748)"
2019-10-31-ED1070-70,ED1070,EB Yellowhead Tr @ 66 St,70,10/31/2019 0:00,0,0,183,38,11,0,232,7,53.57828,-113.4434288,"(53.57828, -113.4434288)"
2019-10-31-ED1073-60,ED1073,EB 100 Ave @ 175 St,60,10/31/2019 0:00,0,0,535,97,38,0,670,168,53.538711,-113.622203,"(53.538711, -113.622203)"
2020-02-29-ED2100-60,ED2100,NB 178 St @ 100 Ave,60,2/29/2020 0:00,0,0,18,4,1,0,23,23,53.537654,-113.62739,"(53.537654, -113.62739)"
2020-02-29-ED2101-60,ED2101,SB Calgary Tr @ Whitemud Dr,60,2/29/2020 0:00,0,0,517,74,15,0,606,114,53.481441,-113.495304,"(53.481441, -113.495304)"
2020-02-29-ED2097-70,ED2097,NB Mark Messier Trail @ Campbell Road,70,2/29/2020 0:00,0,0,448,105,38,0,591,12,53.61142,-113.590805,"(53.61142, -113.590805)"
2020-02-29-ED2102-60,ED2102,SB 170 St @ 118 Ave,60,2/29/2020 0:00,0,0,1503,278,68,0,1849,5,53.570827,-113.61542,"(53.570827, -113.61542)"
2020-02-29-ED2098-70,ED2098,SB Mark Messier Trail @ Campbell Road,70,2/29/2020 0:00,0,0,534,121,35,0,690,17,53.61178,-113.591667,"(53.61178, -113.591667)"
2020-02-29-ED2103-60,ED2103,NB 170 St @ 118 Ave,60,2/29/2020 0:00,0,0,247,46,11,0,304,24,53.570108,-113.615193,"(53.570108, -113.615193)"
2020-02-29-ED2099-60,ED2099,EB 111 Ave @ 142 St,60,2/29/2020 0:00,0,0,51,13,2,0,66,29,53.55882,-113.566383,"(53.55882, -113.566383)"
2020-03-31-ED2100-60,ED2100,NB 178 St @ 100 Ave,60,3/31/2020 0:00,0,0,29,13,4,1,47,16,53.537654,-113.62739,"(53.537654, -113.62739)"
